Code,OI/LO/KUSP
OI.1,"Career Exploration: Purposeful exploration of past and present experiences can support a healthy work-life balance, contribute to self-knowledge, and assist in navigating transitions while pursuing career and educational goals."
OI.1.GQ.1,In what ways can knowing oneself guide future direction?
OI.1.GQ.1.LO.1,Students relate self-awareness to the development of career goals.
OI.1.GQ.1.LO.1.U.1,Imagining possibilities for future careers can be supported by self-awareness.
OI.1.GQ.1.LO.1.U.1.K.1,Self-image and others’ perceptions of oneself contribute to self-awareness.
OI.1.GQ.1.LO.1.U.1.K.2,"Self-awareness allows individuals to recognize whether others’ perceptions, including those of family and peers, align with self-image."
OI.1.GQ.1.LO.1.U.1.K.3,"Experiences with others, such as peers, family members, and mentors, can contribute to self-awareness."
OI.1.GQ.1.LO.1.U.1.K.4,Experiences related to the land and one’s environment can enhance self-awareness.
OI.1.GQ.1.LO.1.U.1.K.5,"Engagement in curricular, extracurricular, and work-related experiences can inform self-awareness."
OI.1.GQ.1.LO.1.U.1.K.6,Goals that reflect self-awareness can support career aspirations.
OI.1.GQ.1.LO.1.U.1.K.7,Goals can evolve based on self-awareness.
OI.1.GQ.1.LO.1.U.1.K.8,"Personal reflection and feedback from others can contribute to
- reviewing career aspirations and refining potential career goals
- managing anticipated and unexpected transitions"
OI.1.GQ.1.LO.1.U.1.K.9,Transitioning from junior high to high school is supported by planning courses and researching career information and opportunities.
OI.1.GQ.1.LO.1.U.1.SP.1,Reflect on self-awareness.
OI.1.GQ.1.LO.1.U.1.SP.2,Relate self-awareness to career aspirations.
OI.1.GQ.1.LO.1.U.1.SP.3,Explain the role of reflection and feedback in developing self-awareness.
OI.1.GQ.1.LO.1.U.1.SP.4,Review and refine career goals and aspirations.
OI.1.GQ.1.LO.1.U.1.SP.5,Relate goals and experiences to possible future careers.
OI.1.GQ.1.LO.1.U.1.SP.6,"Relate experiences with others, the land, and the environment to self-awareness."
OI.1.GQ.1.LO.1.U.1.SP.7,Share findings of career information and opportunities from a variety of sources.
OI.1.GQ.1.LO.1.U.1.SP.8,Create a course plan that supports transitioning from junior high to high school.
OI.2,Career Opportunities: Volunteer or work-integrated learning experiences can influence career development and promote world-of-work and community interactions.
OI.2.GQ.2,How can one’s impression of career possibilities be influenced?
OI.2.GQ.2.LO.2,Students investigate the role of experiences in the evaluation of career possibilities.
OI.2.GQ.2.LO.2.U.1,Experiences can reveal opportunities and challenges related to career possibilities.
OI.2.GQ.2.LO.2.U.1.K.1,Equity of representation in careers can influence motivation to engage in experiences.
OI.2.GQ.2.LO.2.U.1.K.2,Representation in careers can be inequitable.
OI.2.GQ.2.LO.2.U.1.K.3,Equity of representation can influence personal vision of career possibilities.
OI.2.GQ.2.LO.2.U.1.K.4,Personal skills can influence motivation to engage in experiences.
OI.2.GQ.2.LO.2.U.1.K.5,A growth mindset can promote engagement in experiences and development of employability skills.
OI.2.GQ.2.LO.2.U.1.K.6,"Employability skills can be developed through experiences, including volunteerism, entrepreneurship, or work-integrated learning."
OI.2.GQ.2.LO.2.U.1.K.7,"Employability skills are transferable skills that can contribute to success in any career, e.g.,
- communication
- collaboration
- problem solving
- critical thinking
- technology use
- time management"
OI.2.GQ.2.LO.2.U.1.K.8,"Success in entrepreneurship can be supported by employability skills, such as
- risk management
- time management
- decision making"
OI.2.GQ.2.LO.2.U.1.SP.1,Research equity of representation in various careers.
OI.2.GQ.2.LO.2.U.1.SP.2,Reflect on influences for personal engagement in experiences.
OI.2.GQ.2.LO.2.U.1.SP.3,Apply a growth mindset to employability skill development.
OI.2.GQ.2.LO.2.U.1.SP.4,Explore opportunities for experiences that can develop employability skills.
OI.2.GQ.2.LO.2.U.1.SP.5,Reflect on employability skills developed through experiences within or outside the school.
OI.3,"Financial Literacy: Informed financial decision making contributes to the well-being of individuals, groups, and communities."
OI.3.GQ.3,How are well-being and financial literacy connected?
OI.3.GQ.3.LO.3,Students identify strategies for financial well-being.
OI.3.GQ.3.LO.3.U.1,Financial well-being contributes to quality of life.
OI.3.GQ.3.LO.3.U.1.K.1,Financial well-being is the overall state of one’s finances.
OI.3.GQ.3.LO.3.U.1.K.2,"Financial well-being influences physical, social, and emotional health."
OI.3.GQ.3.LO.3.U.1.K.3,Financial well-being allows a person to meet financial obligations and reach short- and long-term financial goals.
OI.3.GQ.3.LO.3.U.1.K.4,"Financial well-being can be supported by strategies, including
- budgeting and reverse budgeting
- saving for planned and unplanned events
- economizing
- determining money required for short- and long-term financial goals
- saving personal income for financial goals before planned spending
- adjusting a budget in accordance with changing personal income
- planning for life events and transitions"
OI.3.GQ.3.LO.3.U.1.K.5,"Family, culture, and community can influence financial well-being through supports."
OI.3.GQ.3.LO.3.U.1.K.6,"Financial institutions can support financial well-being through services, including financial consultations, and products, including savings accounts."
OI.3.GQ.3.LO.3.U.1.SP.1,Investigate strategies to support financial well-being.
OI.3.GQ.3.LO.3.U.1.SP.2,"Discuss the impact of financial well-being on physical, social, and emotional health."
OI.3.GQ.3.LO.3.U.1.SP.3,Describe reverse budgeting in relation to financial well-being.
OI.3.GQ.3.LO.3.U.1.SP.4,Apply a personal strategy to support financial well-being.
OI.3.GQ.3.LO.3.U.1.SP.5,"Discuss the influence of family, culture, and community on financial well-being."
OI.3.GQ.3.LO.3.U.1.SP.6,Explore services and products financial institutions provide to support financial well-being.
