Code,OI/LO/KUSP
OI.1,Active Living: Physical activity embedded into daily living contributes to an individual’s health and well-being across a lifespan.
OI.1.GQ.1,How can moving regularly impact an individual’s health and well-being?
OI.1.GQ.1.LO.1,Students relate regular physical activity to health and well-being.
OI.1.GQ.1.LO.1.U.1,There is a direct relationship between health and well-being and participation in regular physical activity.
OI.1.GQ.1.LO.1.U.1.K.1,Leading an active life supports an individual’s overall health and well-being.
OI.1.GQ.1.LO.1.U.1.K.2,"Well-being encompasses physical, mental, social, emotional, and spiritual health and involves a balanced lifestyle, self-care routines, and healthy habits, such as regular exercise, good nutrition, and appropriate sleep."
OI.1.GQ.1.LO.1.U.1.K.3,"Regular physical activity can support mental well-being by
- reducing stress
- improving concentration
- improving sleep
- improving mood"
OI.1.GQ.1.LO.1.U.1.K.4,Physical health can be improved and maintained by increasing physical activity levels and reducing sedentary behaviours.
OI.1.GQ.1.LO.1.U.1.K.5,"Sedentary behaviours, such as sitting for extended periods, contribute to negative physical health outcomes."
OI.1.GQ.1.LO.1.U.1.K.6,"Various guidelines and principles support physical well-being, such as
- the Canadian 24-Hour Movement Guidelines
- the Canadian Physical Activity Guidelines
- the Canadian Sedentary Behaviour Guidelines
- the Frequency, Intensity, Time, and Type (FITT) Principle or other related fitness training principles"
OI.1.GQ.1.LO.1.U.1.K.7,The Canadian 24-Hour Movement Guidelines recommend that children and youth limit sedentary behaviours to two hours or less per day.
OI.1.GQ.1.LO.1.U.1.K.8,"The frequency, intensity, time, and type (or FITT) training principle provides a structure for a personal fitness or physical activity plan that includes
- frequency of exercise
- intensity of exercise
- duration of exercise
- type of exercise, e.g., aerobic or strengthening"
OI.1.GQ.1.LO.1.U.1.K.9,"Active transportation, such as walking or biking, helps reduce sedentary behaviours and improves physical and mental health outcomes."
OI.1.GQ.1.LO.1.U.1.SP.1,Participate in a variety of physical activities that can be performed as part of a daily routine.
OI.1.GQ.1.LO.1.U.1.SP.2,Discuss how well-being can be improved or maintained through regular physical activity.
OI.1.GQ.1.LO.1.U.1.SP.3,Explore ways to increase physical activity and decrease sedentary behaviours in daily routines.
OI.1.GQ.1.LO.1.U.1.SP.4,Explore guidelines and principles that support physical well-being.
OI.2,Movement Skill Development: Movement skill development is a foundational component of becoming a physically literate individual.
